;Russia GPR index;State-Controlled Russia GPR index;Independent Russia GPR index;Anglosphere GPR index;Ukraine GPR index;Germany GPR index;United Kingdom GPR index;United States GPR index;Anglosphere sanctions intensity index;Russia sancions intensity index
01. Jan 85;;;;3.92;;;2.13;4.17;0.02;
01. Feb 85;;;;4.07;;;2.33;4.27;0.04;
01. Mrz 85;;;;4.63;;;2.7;4.68;0.02;
01. Apr 85;;;;4.06;;;2.94;4.08;0.04;
01. Mai 85;;;;4.82;;;1.79;4.87;0.12;
01. Jun 85;;;;6.81;;;5.08;7.14;0.07;
01. Jul 85;;;;6.34;;;4.35;6.56;0.12;
01. Aug 85;;;;4.9;;;2.44;5.02;0.08;
01. Sep 85;;;;4.3;;;5.66;4.39;0.06;
01. Okt 85;;;;4.98;;;1.49;5.27;0.07;
01. Nov 85;;;;4.22;;;1.49;4.47;0.02;
01. Dez 85;;;;4.59;;;0;4.7;0.01;
01. Jan 86;;;;5.11;;;0;5.15;0.3;
01. Feb 86;;;;4;;;0;4.14;0.04;
01. Mrz 86;;;;4.14;;;5.88;4.2;0.08;
01. Apr 86;;;;6.58;;;2.86;6.94;0.21;
01. Mai 86;;;;5.33;;;2.56;5.35;0.1;
01. Jun 86;;;;4.6;;;2.13;4.68;0.07;
01. Jul 86;;;;4.65;;;0;4.59;0.09;
01. Aug 86;;;;4.73;;;2.94;4.8;0.07;
01. Sep 86;;;;5.27;;;0;5.56;0.07;
01. Okt 86;;;;4.51;;;0;4.68;0.1;
01. Nov 86;;;;5.15;;;2.78;5.28;0.24;
01. Dez 86;;;;4.38;;;2.41;4.45;0.09;
01. Jan 87;;;;4.36;;;0;4.41;0.09;
01. Feb 87;;;;4.34;;;0;4.34;0.1;
01. Mrz 87;;;;3.55;;;1.39;3.57;0.07;
01. Apr 87;;;;4.18;;;1.96;4.2;0.04;
01. Mai 87;;;;3.89;;;1.41;3.95;0.05;
01. Jun 87;;;;3.85;;;1.64;3.93;0.18;
01. Jul 87;;;;4.21;;;1.67;4.23;0.04;
01. Aug 87;;;;4.21;;;1.49;4.21;0.1;
01. Sep 87;;;;4.84;;;0;4.86;0.14;
01. Okt 87;;;;4.2;;;2.82;4.24;0.11;
01. Nov 87;;;;3.78;;;1.3;3.86;0.11;
01. Dez 87;;;;4.67;;;0;4.83;0.05;
01. Jan 88;;;;3.7;;;1.3;3.79;0.06;
01. Feb 88;;;;3.31;;;1.79;3.41;0.05;
01. Mrz 88;;;;4.41;;;0;4.5;0.12;
01. Apr 88;;;;4.7;;;0;4.71;0.14;
01. Mai 88;;;;4.04;;;4.62;4.01;0.06;
01. Jun 88;;;;3.32;;;1.59;3.31;0.04;
01. Jul 88;;;;3.88;;;2.78;3.84;0.05;
01. Aug 88;;;;4.07;;;0;3.95;0.05;
01. Sep 88;;;;3.47;;;3.08;3.55;0.14;
01. Okt 88;;;;3.09;;;1.27;3.14;0.07;
01. Nov 88;;;;3.07;;;0;3.08;0.04;
01. Dez 88;;;;3.62;;;1.92;3.57;0.01;
01. Jan 89;;;;3.84;;;3.7;3.86;0.1;
01. Feb 89;;;;3.76;;;1.89;3.72;0.11;
01. Mrz 89;;;;3.49;;;0;3.49;0.05;
